price,mileage,age,state,modeltype,color
13000,56673,3,NC,LE,white
15900,20697,2,OH,LE,black
10900,53059,3,TX,LE,red
13499,61352,2,NC,LE,grey
11450,26085,5,VA,LE,white
13495,28488,2,NC,LE,black
12985,43895,3,OH,LE,black
12275,46233,4,TX,LE,white
12999,34018,3,NC,LE,black
10900,58906,3,NH,LE,red
14286,33222,3,VA,LE,grey
7995,87973,6,NC,LE,white
10900,59694,3,OH,LE,black
11499,75513,2,TX,LE,red
11900,45110,5,NC,LE,white
11999,46967,4,CA,LE,blue
12999,42775,3,CA,LE,red
11900,40827,3,NJ,LE,grey
15989,21488,2,TX,LE,white
7995,110173,8,CO,LE,black
13290,13232,3,NJ,LE,white
10750,91261,3,NH,LE,black
4595,159935,9,VA,LE,red
10000,95068,4,NC,LE,grey
7500,96000,8,OH,LE,white
5495,138196,6,TX,LE,black
14926,38540,2,NC,LE,red
13498,42100,4,NJ,LE,black
13499,42836,2,NH,LE,white
15965,24711,2,VA,LE,black
6995,101000,8,NC,LE,red
12900,40060,3,OH,LE,grey
5497,126361,10,TX,LE,white
16500,12430,2,NC,LE,black
14499,43818,2,NC,LE,red
10999,72098,6,OH,LE,white
10900,92676,4,TX,LE,blue
12797,34510,3,NC,LE,grey
9900,101788,4,OH,LE,white
9949,100024,5,TX,LE,black
15981,14677,2,CO,LE,red
12923,34112,3,NJ,LE,white
8497,98837,6,NH,LE,black
12470,35278,3,VA,LE,white
13395,37242,2,NC,LE,black
6950,112211,7,OH,LE,red
13994,35699,2,TX,LE,grey
12997,34599,3,NC,LE,white
11995,61969,4,IL,LE,black
7000,86358,8,NY,LE,black
11900,63258,3,VA,LE,white
7497,123777,7,NM,LE,black
13200,30655,3,VA,LE,red
10500,92385,4,NC,LE,grey
5995,121867,10,OH,LE,white
15577,22010,2,TX,LE,black
10499,82754,5,TX,LE,black
7500,106586,8,CO,LE,white
14444,31263,3,NJ,LE,black
16950,13764,2,NH,LE,red
13900,27901,3,VA,LE,grey
14955,23396,2,NC,LE,white
7990,80799,8,OH,LE,black
5933,99461,10,TX,LE,red
6695,89563,8,NC,LE,white
5999,124550,10,NC,LE,blue
11431,86335,4,OH,LE,black
6999,109379,7,TX,LE,white
13995,68725,2,NC,LE,black
8495,87228,6,OH,LE,white
7544,112107,6,TX,LE,black
7500,114670,7,CO,LE,red
11900,50899,3,NJ,LE,grey
9990,88279,5,NH,LE,white
5799,141000,8,VA,LE,black
12297,28281,4,NC,LE,red
9900,107800,4,OH,LE,white
7995,131719,7,TX,LE,blue
14985,21322,3,NC,LE,red
9600,70493,6,OH,LE,grey
9495,114986,4,OH,LE,white
13970,49299,3,AL,LE,black
13791,43512,2,FL,LE,red
7980,86019,9,VA,LE,white
5995,72294,10,NC,LE,blue
3495,146985,11,OH,LE,white
8990,103000,6,TX,LE,black
14940,38006,2,NC,LE,red
8600,103240,5,OH,LE,white
13490,30307,3,NJ,LE,black
15994,12521,2,NY,LE,white
12456,61783,2,VA,LE,black
14449,42671,3,NC,LE,red
6999,100000,9,OH,LE,grey
4500,181589,10,TX,LE,white
8898,104609,6,NC,LE,black
13500,46653,3,OH,LE,red
10495,90265,5,OH,LE,white
6995,113495,8,TN,LE,blue
4995,180132,6,OH,LE,black
5900,125365,8,NY,LE,red
6995,94714,8,NJ,LE,white
12498,61000,5,VA,LE,blue
14494,30643,3,NC,LE,black
6595,133348,9,OH,LE,white
9250,122622,5,TX,LE,black
6700,94742,8,NC,LE,red
16199,28747,2,OH,LE,grey
5999,121869,8,GA,LE,white
5996,135348,8,VA,LE,black
16870,36479,2,CA,LE,red
12699,44443,3,FL,LE,black
14995,26901,2,NJ,LE,white
14499,30364,3,GA,LE,black
8972,66889,7,IL,LE,red
10995,58604,6,CA,LE,grey
11999,58248,4,NY,LE,white
10950,85140,5,TX,LE,black
12999,57030,4,CA,LE,white
3999,178069,10,CT,LE,black
9982,92666,6,OR,LE,white
11000,91173,4,KY,LE,black
8000,109922,7,CA,LE,red
8485,101915,7,CA,LE,grey
5995,146321,9,CA,LE,white
11995,53508,3,NY,LE,black
9987,100761,5,MI,LE,red
10495,39225,6,FL,LE,white
3299,164461,11,OH,LE,blue
